Gene_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Strain	species_taxid	Source
BACT_1000	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Robiginitalea	Robiginitalea biformata	Robiginitalea biformata HTCC2501	252307	HMP
BACT_333	Bacteria	Actinobacteria	Actinomycetia	Catenulisporales	Catenulisporaceae	Catenulispora	Catenulispora acidiphila	Catenulispora acidiphila DSM 44928	304895	HMP
BACT_143	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Halalkalibacterium (ex Joshi et al. 2022)	Halalkalibacterium halodurans	Halalkalibacterium halodurans C-125	86665	HMP
BACT_927	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida	Pseudomonas putida F1	303	HMP
BACT_774	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium tuberculosis	Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2	1773	HMP
BACT_1283	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Zymomonadaceae	Zymomonas	Zymomonas mobilis	Zymomonas mobilis subsp. mobilis NCIMB 11163	542	HMP
BACT_347	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia felis	Chlamydia felis Fe/C-56	83556	HMP
BACT_378	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium botulinum	Clostridium botulinum Ba4 str. 657	1491	HMP
BACT_383	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium botulinum	Clostridium botulinum E3 str. Alaska E43	1491	HMP
BACT_376	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium botulinum	Clostridium botulinum B str. Eklund 17B (NRP)	1491	HMP
BACT_377	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium botulinum	Clostridium botulinum B1	1491	HMP
BACT_400	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium perfringens	Clostridium perfringens ATCC 13124	1502	HMP
BACT_370	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium acetobutylicum	Clostridium acetobutylicum ATCC 824	1488	HMP
BACT_45	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter	Aggregatibacter actinomycetemcomitans	Aggregatibacter actinomycetemcomitans D11S-1	714	HMP
BACT_623	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Halothiobacillaceae	Halothiobacillus	Halothiobacillus neapolitanus	Halothiobacillus neapolitanus c2	927	HMP
BACT_384	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium botulinum	Clostridium botulinum F str. Langeland	1491	HMP
BACT_862	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pectobacteriaceae	Pectobacterium	Pectobacterium parmentieri	Pectobacterium parmentieri WPP163	1905730	HMP
BACT_548	Bacteria	Fibrobacteres	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	Fibrobacter	Fibrobacter succinogenes	Fibrobacter succinogenes subsp. succinogenes S85	833	HMP
BACT_592	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus sp. Y412MC10	NA	481743	HMP
BACT_61	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Ammonifex	Ammonifex degensii	Ammonifex degensii KC4	42838	HMP
BACT_322	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	Candidatus Sulcia	Candidatus Sulcia muelleri	Candidatus Sulcia muelleri SMDSEM	336810	HMP
BACT_1081	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Sorangium	Sorangium cellulosum	Sorangium cellulosum So ce56	56	HMP
BACT_203	Bacteria	Proteobacteria	Oligoflexia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	Bdellovibrio bacteriovorus	Bdellovibrio bacteriovorus HD100	959	HMP
BACT_994	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Rickettsia peacockii	Rickettsia peacockii str. Rustic	47589	HMP
BACT_799	Bacteria	Actinobacteria	Actinomycetia	Nakamurellales	Nakamurellaceae	Nakamurella	Nakamurella multipartita	Nakamurella multipartita DSM 44233	53461	HMP
BACT_512	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis	NA	1351	HMP
BACT_472	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptococcaceae	Desulfofarcimen	Desulfofarcimen acetoxidans	Desulfofarcimen acetoxidans DSM 771	58138	HMP
BACT_7	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter pasteurianus	NA	438	HMP
BACT_468	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfohalobiaceae	Desulfohalobium	Desulfohalobium retbaense	Desulfohalobium retbaense DSM 5692	45663	HMP
BACT_499	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Eggerthella	Eggerthella lenta	Eggerthella lenta DSM 2243	84112	HMP
